_id,timestamp,uiVersion,user ID,userID,event,parameter,__v
64ed003f422709a28eaef694,2023-08-28T20:14:55.623Z,2,1013,1013,modify_plan_button,#CLICKED#education#Bachelors#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#application_type#Individual#Joint App#hardship_flag#N#Y,0
64ed006d422709a28eaef696,2023-08-28T20:15:41.825Z,2,1013,1013,modify_value_categorical,Workclass#Prefrences_acceptable_values:Local-gov,0
64ed0072422709a28eaef698,2023-08-28T20:15:47.210Z,2,1013,1013,modify_value_categorical,Workclass#Prefrences_acceptable_values:Private,0
64ed0076422709a28eaef69a,2023-08-28T20:15:51.368Z,2,1013,1013,modify_value_categorical,Workclass#Prefrences_acceptable_values:State-gov,0
64ed0091422709a28eaef69c,2023-08-28T20:16:17.475Z,2,1013,1013,interface_2,resubmit_loan_plan,0
64ed0107422709a28eaef69e,2023-08-28T20:18:16.141Z,2,1013,1013,smily_interaction,#capital_gain#0#2965.231155778895#education#Bachelors#Prof-school#hours_per_week#50#61#occupation#Prof-specialty#Exec-managerial#acc_now_delinq#0#2#application_type#Individual#Joint App#hardship_flag#N#Y#mort_acc#0#31#smily_value#4,0
64ed0109422709a28eaef6a0,2023-08-28T20:18:17.852Z,2,1013,1013,keep_plan_button,#CLICKED##capital_gain#0#2965.231155778895#education#Bachelors#Prof-school#hours_per_week#50#61#occupation#Prof-specialty#Exec-managerial#acc_now_delinq#0#2#application_type#Individual#Joint App#hardship_flag#N#Y#mort_acc#0#31,0
64edc2c1422709a28eaef6a2,2023-08-29T10:04:49.334Z,1,1014,1014,session_started,"""clicked#1014""",0
64edc339422709a28eaef6a4,2023-08-29T10:06:49.605Z,1,1014,1014,request_plans_button,clicked,0
64edc4d9422709a28eaef6b2,2023-08-29T10:13:45.873Z,1,1014,1014,smily_interaction#4,@education#Bachelors#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Self-emp-not-inc#Federal-gov@acc_now_delinq#0#2@application_type#Individual#Joint App@hardship_flag#N#Y@home_ownership#RENT#OWN,0
64edc504422709a28eaef6b4,2023-08-29T10:14:28.785Z,1,1014,1014,level_of_difficulty,education#2,0
64edc529422709a28eaef6b6,2023-08-29T10:15:05.287Z,1,1014,1014,change_acceptable_values,education#Bachelors,0
64edc531422709a28eaef6b8,2023-08-29T10:15:13.837Z,1,1014,1014,change_acceptable_values,"education#Bachelors,Masters",0
64edc532422709a28eaef6ba,2023-08-29T10:15:14.587Z,1,1014,1014,change_acceptable_values,education#Masters,0
64edc55d422709a28eaef6bc,2023-08-29T10:15:57.270Z,1,1014,1014,change_acceptable_values,occupation#Machine-op-inspct,0
64edc566422709a28eaef6be,2023-08-29T10:16:06.171Z,1,1014,1014,level_of_difficulty,occupation#4,0
64edc588422709a28eaef6c0,2023-08-29T10:16:40.021Z,1,1014,1014,change_acceptable_values,workclass#Self-emp-inc,0
64edc58f422709a28eaef6c2,2023-08-29T10:16:47.504Z,1,1014,1014,change_acceptable_values,"workclass#Self-emp-inc,Private",0
64edc599422709a28eaef6c4,2023-08-29T10:16:57.021Z,1,1014,1014,level_of_difficulty,workclass#4,0
64edc5a5422709a28eaef6c6,2023-08-29T10:17:08.904Z,1,1014,1014,level_of_difficulty,workclass#3,0
64edc602422709a28eaef6c8,2023-08-29T10:18:41.955Z,1,1014,1014,change_acceptable_values,application_type#Joint App,0
64edc618422709a28eaef6ca,2023-08-29T10:19:04.338Z,1,1014,1014,change_acceptable_values,hardship_flag#Y,0
64edc64c422709a28eaef6cc,2023-08-29T10:19:56.071Z,1,1014,1014,change_acceptable_values,home_ownership#OWN,0
64edc64e422709a28eaef6ce,2023-08-29T10:19:58.438Z,1,1014,1014,level_of_difficulty,home_ownership#1,0
64edc657422709a28eaef6d0,2023-08-29T10:20:07.621Z,1,1014,1014,change_acceptable_values,"home_ownership#OWN,RENT",0
64edc658422709a28eaef6d2,2023-08-29T10:20:08.755Z,1,1014,1014,change_acceptable_values,home_ownership#RENT,0
64edc67c422709a28eaef6d4,2023-08-29T10:20:44.272Z,1,1014,1014,change_acceptable_values,"home_ownership#RENT,MORTGAGE",0
